"URBAN REDEVELOPMENT AUTHORITY - RENTAL CONTRACTS OF PRIVATE RESIDENTIAL PROPERTIES"

"S/N","Building/Project Name","Street Name","Postal District","Type","No. of Bedroom(for Non-Landed Only)","Monthly Gross Rent($)","Floor Area (sq ft)","Lease Commencement Date"
"1","8 @ MOUNT SOPHIA","MOUNT SOPHIA","09","Non-landed Properties","1","3800","800 to 900","Feb-2017"
"2","ST THOMAS COURT","ST. THOMAS WALK","09","Non-landed Properties","3","2300","1100 to 1200","Feb-2017"
"3","ASPEN HEIGHTS","RIVER VALLEY ROAD","09","Non-landed Properties","3","4000","1300 to 1400","Feb-2017"
"4","ONE DEVONSHIRE","DEVONSHIRE ROAD","09","Non-landed Properties","4","8300","1400 to 1500","Feb-2017"
"5","RHAPSODY ON MOUNT ELIZABETH","MOUNT ELIZABETH","09","Non-landed Properties","3","6100","1500 to 1600","Feb-2017"
"6","ST THOMAS SUITES","ST. THOMAS WALK","09","Non-landed Properties","4","10700","2600 to 2700","Feb-2017"
"7","WILKIE REGENCY","WILKIE TERRACE","09","Non-landed Properties","2","3000","800 to 900","Feb-2017"
"8","THE COSMOPOLITAN","KIM SENG ROAD","09","Non-landed Properties","2","5500","1100 to 1200","Feb-2017"
"9","THE WHARF RESIDENCE","TONG WATT ROAD","09","Non-landed Properties","3","6500","1500 to 1600","Feb-2017"
"10","THE PIER AT ROBERTSON","MOHAMED SULTAN ROAD","09","Non-landed Properties","1","3300","700 to 800","Feb-2017"
"11","THE VERV @ RV","RIVER VALLEY ROAD","09","Non-landed Properties","3","7800","2900 to 3000","Feb-2017"
"12","SCOTTS SQUARE","SCOTTS ROAD","09","Non-landed Properties","3","6200","1200 to 1300","Feb-2017"
"13","URBAN SUITES","HULLET ROAD","09","Non-landed Properties","2","6200","1000 to 1100","Feb-2017"
"14","URBANA","RIVER VALLEY CLOSE","09","Non-landed Properties","2","4000","1000 to 1100","Feb-2017"
"15","ESPADA","ST. THOMAS WALK","09","Non-landed Properties","1","2500","300 to 400","Feb-2017"
"16","336 RIVER VALLEY","RIVER VALLEY ROAD","09","Non-landed Properties","2","3300","1500 to 1600","Feb-2017"
"17","ROBERTSON EDGE","TONG WATT ROAD","09","Non-landed Properties","1","2250","400 to 500","Feb-2017"
"18","RESIDENCES AT EMERALD HILL","EMERALD HILL ROAD","09","Non-landed Properties","4","8500","2200 to 2300","Feb-2017"
"19","LEONIE CONDOTEL","LEONIE HILL ROAD","09","Non-landed Properties","4","8307","2700 to 2800","Feb-2017"
"20","VIVACE","TONG WATT ROAD","09","Non-landed Properties","1","2200","300 to 400","Feb-2017"
"21","ESPADA","ST. THOMAS WALK","09","Non-landed Properties","1","2600","300 to 400","Feb-2017"
"22","LEONIE GARDENS","LEONIE HILL","09","Non-landed Properties","3","4700","1700 to 1800","Feb-2017"
"23","WATERSCAPE AT CAVENAGH","CAVENAGH ROAD","09","Non-landed Properties","3","5000","1200 to 1300","Feb-2017"
"24","RIVERSIDE 48","ROBERTSON QUAY","09","Non-landed Properties","na*","3000","800 to 900","Feb-2017"
"25","ILLUMINAIRE ON DEVONSHIRE","DEVONSHIRE ROAD","09","Non-landed Properties","na*","2800","400 to 500","Feb-2017"
"26","WATERSCAPE AT CAVENAGH","CAVENAGH ROAD","09","Non-landed Properties","3","5000","1300 to 1400","Feb-2017"
"27","VIVACE","TONG WATT ROAD","09","Non-landed Properties","1","2500","400 to 500","Feb-2017"
"28","ESPADA","ST. THOMAS WALK","09","Non-landed Properties","1","2600","300 to 400","Feb-2017"
"29","CLAREMONT","KILLINEY ROAD","09","Non-landed Properties","3","3100","900 to 1000","Feb-2017"
"30","THE LIGHT @ CAIRNHILL","CAIRNHILL CIRCLE","09","Non-landed Properties","2","5180","1200 to 1300","Feb-2017"
"31","HORIZON TOWER","LEONIE HILL","09","Non-landed Properties","4","6000","2400 to 2500","Feb-2017"
"32","VISIONCREST","OXLEY RISE","09","Non-landed Properties","1","3100","700 to 800","Feb-2017"
"33","WATERSCAPE AT CAVENAGH","CAVENAGH ROAD","09","Non-landed Properties","2","3700","1000 to 1100","Feb-2017"
"34","THE SUITES AT CENTRAL","DEVONSHIRE ROAD","09","Non-landed Properties","3","6200","1300 to 1400","Feb-2017"
"35","CAIRNHILL ASTORIA","CAIRNHILL RISE","09","Non-landed Properties","1","2800","900 to 1000","Feb-2017"
"36","8 RODYK","RODYK STREET","09","Non-landed Properties","3","6200","1300 to 1400","Feb-2017"
"37","CAIRNHILL NINE","CAIRNHILL ROAD","09","Non-landed Properties","4","19000","2400 to 2500","Feb-2017"
"38","HELIOS RESIDENCES","CAIRNHILL CIRCLE","09","Non-landed Properties","3","5500","1900 to 2000","Feb-2017"
"39","CAIRNHILL NINE","CAIRNHILL ROAD","09","Non-landed Properties","1","3700","500 to 600","Feb-2017"
"40","RESIDENCES AT EMERALD HILL","EMERALD HILL ROAD","09","Non-landed Properties","3","7000","1600 to 1700","Feb-2017"
"41","VISIONCREST","OXLEY RISE","09","Non-landed Properties","2","3800","900 to 1000","Feb-2017"
"42","CAIRNHILL PLAZA","CAIRNHILL ROAD","09","Non-landed Properties","3","6300","2800 to 2900","Feb-2017"
"43","ROBERTSON EDGE","TONG WATT ROAD","09","Non-landed Properties","2","2700","400 to 500","Feb-2017"
"44","UE SQUARE","RIVER VALLEY ROAD","09","Non-landed Properties","1","2700","700 to 800","Feb-2017"
"45","THE LAURELS","CAIRNHILL ROAD","09","Non-landed Properties","2","5500","800 to 900","Feb-2017"
"46","MARTIN PLACE RESIDENCES","MARTIN PLACE","09","Non-landed Properties","3","8200","1700 to 1800","Feb-2017"
"47","ONE OXLEY RISE","OXLEY RISE","09","Non-landed Properties","3","4100","1000 to 1100","Feb-2017"
